msg_id,tag,agg_labels,db_labels,km_labels
<1123670269.51594.qmail@bankofamerica.com>,Phish,14,-1,17
<1123673807.44208.qmail@paypal.com>,Phish,16,-1,49
<100101c59ebf$d57ab393$d08b0e72@postbank.de>,Phish,21,-1,54
<1123804388.24370.qmail@arribada.paypal.com>,Phish,16,-1,49
<20050812042914.247101EC312@pasmtp.tele.dk>,Phish,0,-1,41
<200508120550.BAA10343@mail.example.com>,Phish,14,-1,17
<200508140934.FAA20588@mail.example.com>,Phish,16,-1,41
<200508140948.FAA20648@mail.example.com>,Phish,16,-1,41
<200508141458.KAA21752@mail.example.com>,Phish,34,-1,45
<ILKNWPWHDAIPJDYUPAMIK@yahoo.com>,Phish,34,-1,45
<E1E4mxF-0007Ty-Td@franz.inode.at>,Phish,4,-1,44
<4471453918.20050815170047@deutsche-bank.de>,Phish,21,-1,54
<7374104805.20050815170122@deutsche-bank.de>,Phish,21,-1,54
<E1E4qkm-0006rE-K8@franz.inode.at>,Phish,4,-1,44
<20050817040430.042E779C85E@asia.ibbmonitor.com>,Phish,18,1,21
<20050817040430.0519F79C85F@asia.ibbmonitor.com>,Phish,18,1,21
<20050817051642.292597AF80E@asia.ibbmonitor.com>,Phish,18,1,21
<20050817055948.0A3C07BEF9A@asia.ibbmonitor.com>,Phish,18,1,21
<20050817062957.1F2041599ACB@europe.ibbmonitor.com>,Phish,18,1,21
<20050817063707.15958ACDED3@africa.ibbmonitor.com>,Phish,18,1,21
<20050817071735.5996915A9828@europe.ibbmonitor.com>,Phish,18,1,21
<20050817082446.5DD001185426@nea.ibbmonitor.com>,Phish,18,1,21
<20050817092411.5E26511968D3@nea.ibbmonitor.com>,Phish,18,1,21
<20050817095049.431678030BD@asia.ibbmonitor.com>,Phish,18,1,21
<20050817111318.A006B15EBDCE@europe.ibbmonitor.com>,Phish,18,1,21
<20050817134633.5B09B11DCA8C@nea.ibbmonitor.com>,Phish,18,1,21
<20050817182802.703BC84B0A0@asia.ibbmonitor.com>,Phish,18,1,21
<20050817211611.40DA8B5BE2F@africa.ibbmonitor.com>,Phish,18,1,21
<20050817214444.924731234F92@nea.ibbmonitor.com>,Phish,18,1,21
<20050817223013.482DFB6D55E@africa.ibbmonitor.com>,Phish,18,1,21
<20050817231443.1879F1244559@nea.ibbmonitor.com>,Phish,18,1,21
<200508181316.j7IDGuoH030323@localhost.localdomain>,Phish,0,-1,17
<200508212046.QAA25078@mail.example.com>,Phish,15,-1,2
<20050818031039.375BD166391C@europe.ibbmonitor.com>,Phish,18,1,21
<20050818040152.19773BB49C3@africa.ibbmonitor.com>,Phish,18,1,21
<20050818081002.51E9A1289288@nea.ibbmonitor.com>,Phish,18,1,21
<200508201634.MAA19865@mail.example.com>,Phish,16,-1,49
<20050821075635.D59C356134@severone.actionlinesrl.it>,Phish,14,-1,17
<20050821115810.8EEFE7C177E@mybeer.com.tw>,Phish,14,-1,17
<E1E7BcW-0001Nq-7o@host07.ipowerweb.com>,Phish,16,2,49
<20050822220525.15CF01C6B8A@pierbook.com>,Phish,16,-1,58
<20050823034618.3062B65A32@severone.actionlinesrl.it>,Phish,16,-1,41
<MRWOPZZJNOGBUODMHNSJMXSTM@hotmail.com>,Phish,16,-1,58
<QWOHCCLMMWLIFHWVUHWWGYPG@msn.com>,Phish,4,-1,44
<200508270730.j7R7UMJj029670@atf.example.com>,Phish,9,-1,68
<20050819073855.78B491312C70@nea.ibbmonitor.com>,Phish,18,1,21
<20050819095528.7B7DC13206CA@nea.ibbmonitor.com>,Phish,18,1,21
<20050825202546.2BA952C4BF@terra2.hms.com.au>,Phish,4,-1,44
<101001c5ab52$965ad54c$858f17f2@deutschebank.net>,Phish,21,-1,54
<101101c5ab52$e2606b3a$1306171f@deutschebank.net>,Phish,21,-1,54
<20050828203652.4713161CF@clust07-www02.powweb.com>,Phish,16,-1,49
<E1EAE36-0001CV-AR@hnl.hawaiitravelnetwork.com>,Phish,15,-1,21
<Musgr67GBXJ4@trafficblast.com>,Phish,4,-1,26
<20050901213905.8DD786FE42@clust09-www04.powweb.com>,Phish,16,-1,49
<E1EBdkJ-000274-Hd@athena.securityssl.net>,Phish,6,-1,30
<20050904174828.56F68621C92@mail.example.com>,Phish,9,-1,68
<200509041749.NAA24079@mail.example.com>,Phish,9,-1,68
<E1EC3sB-0008QY-4A@front.netnation.com>,Phish,16,2,49
<000101c5b1e0$3199237a$e3683a83@paypal.com>,Phish,16,-1,49
<QYZBLUDHNAWZWYIYEYRF@hotmail.com>,Phish,14,-1,17
<1GXJHYybcmjiI47391b@totallyperfect.net>,Phish,4,-1,44
<1126149409.33544.qmail@paypal.com>,Phish,16,-1,58
<200509091140.j89BexK16559@dns2.net-star.com.tw>,Phish,14,-1,17
<20050911145328.C42E53F30B@smtp.soyouze.com>,Phish,0,-1,41
<E1EEp2w-0000S8-5g@alfa01.cgyhost.net>,Phish,4,-1,25
<E1EEptd-0006y7-5i@alfa01.cgyhost.net>,Phish,4,-1,25
<RSOVCJPCJAKOBWWGPVYJZY@msn.com>,Phish,4,-1,46
<200509142103.j8EL3tON028568@www.watchsystem.it>,Phish,14,-1,17
<200509151243.IAA08927@mail.example.com>,Phish,14,-1,17
<E1EGhBB-0007z7-5D@alpha.xnoc.net>,Phish,4,-1,44
<200509180808.j8I88V424689@www.ihostingshop.net>,Phish,14,-1,17
<20050919004222.4B35B13D3DF@http03.ifrance.com>,Phish,14,-1,17
<Fvnmo115160CKG0@hejoin.com>,Phish,14,-1,17
<200509211521.j8LFLmb27385@www.stylement.jp>,Phish,5,8,50
<20050922112904.7C221164D0@mail.example.com>,Phish,9,-1,24
<20050929010455.E60A2621C66@mail.example.com>,Phish,9,-1,24
<200510030100.VAA28827@mail.example.com>,Phish,14,-1,17
<20051004215734.CB211164D0@mail.example.com>,Phish,9,-1,24
<20050920165038.1688C13D8E9@http03.ifrance.com>,Phish,14,-1,17
<E1EHr1Z-0005yd-GO@ferrari.elinuxservers.com>,Phish,4,-1,44
<200509212316.TAA09264@mail.example.com>,Phish,14,-1,17
<101101c5be85$5e976858$88f73098@antronomia.com>,Phish,30,-1,14
<0787113695.20050922073719@postbankde.com>,Phish,21,3,54
<1697308277.20050922073720@postbankde.com>,Phish,21,3,54
<200509222028.QAA13790@mail.example.com>,Phish,14,-1,17
<20050924152212.5B54A4C2FD@patty.isd-holland.nl>,Phish,30,-1,14
<4922964948.5578714252@va-71-0-90-8.dyn.sprint-hsd.net>,Phish,21,-1,54
<aab701c5c171$955f34eb$adeb35f9@postbankde.com>,Phish,21,3,54
<20050925200900.16905.qmail@P02.NEXLINK.NET>,Phish,5,-1,50
<53e901c5c286$5cbf1f9b$4d5fc261@postbankde.com>,Phish,21,3,54
<7506402722.20050926125524@VerifiedByVisa.com>,Phish,4,-1,34
<1127762448.94864.qmail@arribada.ebay.com>,Phish,14,-1,17
<1127764757.111563.qmail@arribada.ebay.com>,Phish,14,-1,17
<200509280053.j8S0reB12041@web45.opentransfer.com>,Phish,4,-1,44
<20050928115722.1084.qmail@thenkel.org>,Phish,16,-1,49
<3b6c01c5c47a$48acbb7b$f2d9fca8@postbankde.com>,Phish,21,3,54
<200509290105.VAA10763@mail.example.com>,Phish,9,-1,68
<200509290105.VAA10776@mail.example.com>,Phish,9,-1,68
<20050929175836.49B69B380E2@contactool.com>,Phish,16,2,49
<20050930212129.B64E322ACE@clust08-www03.powweb.com>,Phish,16,-1,49
<20051001102405.E2EF4AC9346@exitculture.org>,Phish,16,7,49
<200510012101.RAA24043@mail.example.com>,Phish,38,-1,34
<20051002014603.746053BA1DE@kdp.servicesat.co.za>,Phish,15,4,2
<E1ELxNb-0001jl-OU@ns1.ewdns.net>,Phish,5,5,50
<E1EMBVK-0004gG-Dg@neon.omegasphere.net>,Phish,5,5,50
<200510040340.XAA01940@mail.example.com>,Phish,4,-1,25
<200510040340.XAA01940@mail.example.com>,Phish,4,-1,25
<200510041455.KAA04493@mail.example.com>,Phish,4,-1,25
<200510042057.QAA06006@mail.example.com>,Phish,9,-1,24
<3075775247.20051005114455@deutsche-bank.de>,Phish,21,-1,54
<8074545175.20051005114458@deutsche-bank.de>,Phish,21,-1,54
<200510081447.j98ElU4w015586@host26.christianwebhost.com>,Phish,4,-1,44
<20051008150807.7D830FE5919@exitculture.org>,Phish,5,-1,50
<E1EObmQ-0001WP-8b@sl30.internetworks.com.mx>,Phish,15,-1,21
<a9db01c5cd00$32d15a14$ef391344@postbank.de>,Phish,21,-1,54
<20051010074103.02A2E4C5499@mail.dpd.sk>,Phish,0,-1,41
<E1EP6PH-000MAZ-F0@web.kuwhost.com>,Phish,4,-1,44
<78b901c5ce13$064601f4$39133bea@postbank.de>,Phish,21,3,54
<200510111631.j9BGVq607962@internet.2km.cz>,Phish,27,-1,20
<200510121914.PAA12993@mail.example.com>,Phish,14,-1,17
<E1EQ49K-00025e-FO@cpanel.1dr.net>,Phish,14,-1,17
<200510140212.WAA21469@mail.example.com>,Phish,14,-1,17
<200510140247.j9E2lWK03812@w3.leonet.it>,Phish,4,-1,44
<b9ef01c5d079$494f265c$704b0d90@postbank.de>,Phish,21,3,54
<1129329534.19161.qmail@arribada.ebay.com>,Phish,4,-1,26
<200510150214.WAA26434@mail.example.com>,Phish,9,-1,68
<901e01c5d18b$6138cbd0$ab5b7e52@postbank.de>,Phish,21,3,54
<200510151342.j9FDgoS16653@w3.leonet.it>,Phish,4,-1,44
<E1EQnjl-0008DL-IW@ess5.esecuresite5.com>,Phish,4,-1,26
<200510170116.VAA02319@mail.example.com>,Phish,14,-1,17
<E1ESKH9-000Cej-8M@baltazar.kontrollpanelen.se>,Phish,16,2,49
<200510210044.UAA23140@mail.example.com>,Phish,14,-1,17
<200510212119.RAA27852@mail.example.com>,Phish,14,-1,17
<20051023123448.31733.qmail@mail.nepsa.com>,Phish,4,-1,44
<LINKWEB1SKgArEWDilo00097356@linkweb1s.linkmail.local>,Phish,4,-1,44
<1130180871.16026.qmail@arribada.ebay.com>,Phish,16,-1,58
<20051025144536.0574332BB3B@camelot>,Phish,15,-1,40
<JJFTQFHONOGIJFJDWIPDXARVW@comcast.net>,Phish,4,-1,26
<E1EVD8j-0004Uo-Ut@phaeton.webserversystems.com>,Phish,16,7,49
<20051029013218.D9E7C621C89@mail.example.com>,Phish,9,-1,68
<200510300936.EAA07923@mail.example.com>,Phish,14,-1,17
<200510311705.MAA14931@mail.example.com>,Phish,6,6,52
<E1EVZSQ-0000ZO-G0@hl4s.mohayil.com>,Phish,4,-1,44
<200510290135.VAA01848@mail.example.com>,Phish,9,-1,68
<1130616831.28536.qmail@arribada.ebay.com>,Phish,16,-1,49
<1130616831.28536.qmail@arribada.ebay.com>,Phish,16,-1,49
<E1EWEj3-0001fW-5K@malvina.dattaweb.com>,Phish,18,1,21
<20051031220050.1A14248830@mail.cafe.si>,Phish,16,-1,49
<HPJQVUXPRHJLOVBRINZTE@earthlink.net>,Phish,4,-1,26
<!~!F615E01c3858$508b8$4369BEA2@paypal.com>,Phish,16,7,49
<E1EXVJH-0003X2-NE@server.linkneo.com>,Phish,14,-1,17
<6UUSQgatznaU137x@kimtalbert.com>,Phish,14,-1,17
<200511032157.QAA00110@mail.example.com>,Phish,14,-1,17
<1131133550.14682.qmail@peoples.com>,Phish,4,-1,8
<200511051313.IAA08657@mail.example.com>,Phish,5,-1,50
<200511070913.jA79Dnl11013@lsh162.siteprotect.com>,Phish,6,-1,15
<1131419378.16010.qmail@peoples.com>,Phish,4,-1,8
<QRRTAYWEFDXQMVQVMTLGSRKVD@msn.com>,Phish,4,-1,26
<20051112195948.6EF27621C66@mail.example.com>,Phish,9,-1,8
<E1Eaf4w-000EFW-KF@s01.weareonline.nl>,Phish,5,8,50
<20051115093345.4F4DA358B9DB@mail.platinumimaging.com>,Phish,12,-1,63
<20051115215139.15701847AAD@serveur2.dev2000.fr>,Phish,15,4,2
<E1EceGE-0000dv-6a@falcon.unixbsd.info>,Phish,4,-1,44
<20051117220440.AECE498DF4@Webserver.mptaiping.gov.my>,Phish,4,-1,34
<E1EdKoF-0002fR-10@jaguar.bcmweb.com>,Phish,18,0,21
<20051120170626.324E318ADCCA@canadianclub.org.hk>,Phish,18,0,21
<200511210117.UAA26541@mail.example.com>,Phish,14,-1,17
<E1EdgNa-000KhQ-Fy@hermano.majordomo.ru>,Phish,4,-1,44
<E1EdgNa-000KhT-Gy@hermano.majordomo.ru>,Phish,4,-1,44
<200511241430.jAOEUn9m078161@loli.ncity.net>,Phish,18,0,21
<200511271650.jARGo9E09795@73s.new21.net>,Phish,16,2,49
<E1EgYgt-0007oe-J8@endeavour.dnsvelocity.com>,Phish,0,9,41
<QEWDXCUTGRFRMVVIAMRD@msn.com>,Phish,18,0,21
<E1EjxPo-0006VN-Qa@albergue.hospedajededicado.com>,Phish,5,8,50
<200512081803.NAA01086@mail.example.com>,Phish,18,-1,21
<200512122145.QAA24887@mail.example.com>,Phish,18,0,21
<200512130511.AAA26745@mail.example.com>,Phish,4,-1,34
<200512131834.NAA30473@mail.example.com>,Phish,18,0,21
<200512190918.jBJ9IE6Q013863@host1.openbluhost.com>,Phish,16,10,49
<20051219140504.D28A9621CAC@mail.example.com>,Phish,32,-1,11
<20051225052025.387D71653B@mail.example.com>,Phish,9,-1,68
<200512260718.CAA03449@mail.example.com>,Phish,14,-1,17
<20051229111801.662D316500@mail.example.com>,Phish,9,-1,68
<20060105201103.C68C1621C66@mail.example.com>,Phish,9,-1,24
<200601061628.k06GSRqW027212@ns.jigucom.co.kr>,Phish,4,-1,25
<200601092119.QAA22721@mail.example.com>,Phish,4,-1,45
<20060110022012.0B20C621CAA@mail.example.com>,Phish,32,-1,47
<200601101028.FAA25765@mail.example.com>,Phish,14,-1,17
<200601101643.LAA27399@mail.example.com>,Phish,4,-1,25
<200601101643.LAA27409@mail.example.com>,Phish,4,-1,25
<20060111202131.2DC2F12A684@mail2.tx-rx.org>,Phish,4,-1,26
<200601120751.k0C7pjGn015627@mass2nd.snu.ac.kr>,Phish,18,-1,21
<200601122004.PAA08500@mail.example.com>,Phish,6,6,52
<200601130218.VAA10255@mail.example.com>,Phish,6,6,52
<200601131934.OAA14794@mail.example.com>,Phish,6,6,52
<20060115002325.22E8B16467@mail.example.com>,Phish,9,-1,68
<200601150700.CAA22905@mail.example.com>,Phish,6,6,52
<200601170854.DAA02833@mail.example.com>,Phish,15,-1,2
<200601191620.LAA32388@mail.example.com>,Phish,4,-1,26
<HOSSluCBcKfExvWvqzA000001b5@hoss>,Phish,4,-1,25
<200601211718.MAA13833@mail.example.com>,Phish,16,10,49
<200601221511.KAA19339@mail.example.com>,Phish,16,10,49
<20060123085409.72C1E164EB@mail.example.com>,Phish,4,-1,34
<200601230716.CAA23241@mail.example.com>,Phish,6,6,52
<20060124032312.EE240621C89@mail.example.com>,Phish,9,-1,24
<200601251805.NAA07044@mail.example.com>,Phish,15,4,2
<200601262236.RAA15214@mail.example.com>,Phish,4,-1,45
<200601271942.OAA20729@mail.example.com>,Phish,16,-1,49
<200601272101.k0RL1A9j001987@host150.host150-server.com>,Phish,18,0,21
<20060128034157.190CE164FD@mail.example.com>,Phish,9,-1,68
<200601311612.LAA10514@mail.example.com>,Phish,6,-1,52
<1469766135.20060201023434@pulse-eft.com>,Phish,2,-1,44
<200602020412.XAA25182@mail.example.com>,Phish,6,6,52
<200602021243.HAA27734@mail.example.com>,Phish,14,-1,17
<20060203145814.BF540165F1@mail.example.com>,Phish,4,-1,34
<200602041919.OAA10315@mail.example.com>,Phish,6,-1,52
<200602050250.k152oM9U009238@ambix.securesites.net>,Phish,15,-1,2
<20060208091251.69333.qmail@server12.ehostsource.com>,Phish,4,-1,22
<20060209232218.9F87E164FF@mail.example.com>,Phish,32,-1,11
<200602120026.TAA27461@mail.example.com>,Phish,6,-1,52
<200602120213.VAA27993@mail.example.com>,Phish,6,6,52
<200602121810.k1CIAHW9024861@www.nfrasoft.com>,Phish,4,-1,34
<200602100329.k1A3T2213751@ns1.rmsdata.net>,Phish,16,11,49
<200602151955.k1FJtSY02338@server33.cosmicinfinity.com>,Phish,16,-1,49
<200602152029.PAA19663@mail.example.com>,Phish,16,-1,58
<20060215223855.20F8A52327C@macintrouble.net>,Phish,16,-1,58
<200602162345.k1GNj8mY021971@schoolmusic.co.kr>,Phish,6,6,52
<200602171422.ANM64309@mpv4.example.com>,Phish,16,-1,49
<20060217160918.23626.qmail@server12.ehostsource.com>,Phish,4,-1,22
<20060217161016.24308.qmail@server12.ehostsource.com>,Phish,4,-1,22
<200602180657.BAA28138@mail.example.com>,Phish,15,-1,2
<200602190707.k1J77oYg032064@www.theredtag.net>,Phish,14,-1,17
<200602190922.k1J9LxlV028838@crossmobile.net>,Phish,14,-1,17
<20060219214635.A3CFA808F1A@mnet.cs.nthu.edu.tw>,Phish,16,11,49
<200602200609.BAA07213@mail.example.com>,Phish,4,-1,34
<178115410459.XAA13898Equity_Advisor_fedora@gmail.com>,Phish,9,-1,3
<200602211854.k1LIs3M09871@tjeinternational.com>,Phish,15,-1,2
<200602212044.PAA17012@mail.example.com>,Phish,16,-1,2
<E1FBgsE-00026T-1L@mail.tecnicasangiorgio.it>,Phish,18,0,21
<200602251946.k1PJktM01984@infoble.net>,Phish,18,0,21
<20060227101120.BCC0ABF8838@correio.cral.com.br>,Phish,18,0,21
<GREGHOME1Wtyi67EKRu00000097@GREGHOME>,Phish,4,-1,44
<200603060602.k2662rc01046@renoeve.net>,Phish,4,-1,56
<DESKTOPngL6wxvw0IDT000006b3@desktop>,Phish,18,12,21
<SERVER2000stPGtPrPr0000004d@SERVER2000.TCC>,Phish,27,-1,20
<0749117343.20060315105857@citibusinessonline.com>,Phish,4,-1,34
<4712853141.20060327202603@chase.com>,Phish,27,-1,20
<3700630744.20060511134126@ebay.com>,Phish,14,-1,17
<9742559493.20060605131034@midamerica.com>,Phish,4,-1,25
<2125686780.20060620080426@midamerica.com>,Phish,4,-1,25
<0070412416.20060704023605@midamerica.com>,Phish,4,-1,25
<20060801230754.9DBEB16313@mail.example.com>,Phish,7,-1,18
<20060809123742.C030F621D35@mail.example.com>,Phish,23,-1,6
<20060810160810.70E66621CF9@mail.example.com>,Phish,23,-1,6
<20060815075429.0F6FA1636F@mail.example.com>,Phish,23,-1,6
<20060816110558.C222D621CF5@mail.example.com>,Phish,32,-1,11
<20060817121201.E2F32621D0F@mail.example.com>,Phish,23,-1,6
<20060819075904.82BD3621D2A@mail.example.com>,Phish,32,-1,11
<20060820013645.8A4C8163A2@mail.example.com>,Phish,23,-1,6
<20060822111843.51073621CF0@mail.example.com>,Phish,23,-1,6
<20060824000131.86F5F163A6@mail.example.com>,Phish,32,-1,11
<20060825103536.9B664163E1@mail.example.com>,Phish,23,-1,6
<20060828054103.9EF0E16340@mail.example.com>,Phish,23,-1,6
<20060829115837.7AA7C1639A@mail.example.com>,Phish,23,-1,6
<20060830130558.05F2A1633B@mail.example.com>,Phish,32,-1,11
<20060831174948.C38F616389@mail.example.com>,Phish,23,-1,6
<20060901031119.3518E621E1A@mail.example.com>,Phish,43,-1,24
<20060903142454.18DB2622069@mail.example.com>,Phish,23,-1,6
<20060907112153.D7B20621D6E@mail.example.com>,Phish,23,-1,6
<20060909151333.A4F69621DE7@mail.example.com>,Phish,32,-1,11
<20060910140028.EAA84621EA9@mail.example.com>,Phish,23,-1,6
<20060918112445.66076621E0B@mail.example.com>,Phish,43,-1,24
<20060920095257.47D0A621E40@mail.example.com>,Phish,32,-1,11
<20061011104350.3E993163BD@mail.example.com>,Phish,43,-1,24
<20061025124221.8A18616298@mail.example.com>,Phish,32,-1,11
<1130384585.13653@paypal.com>,Phish,15,-1,21
<20061111054818.85A9E621CE2@mail.example.com>,Phish,43,-1,24
<20061118024348.2DC40621E18@mail.example.com>,Phish,32,-1,11
<20061119083354.A0D4A621DD6@mail.example.com>,Phish,43,-1,24
<20061119235657.4352B621F7B@mail.example.com>,Phish,43,-1,24
<20061120134602.B59DD16264@mail.example.com>,Phish,32,-1,11
<20061121212122.81907621D35@mail.example.com>,Phish,43,-1,24
<20061123040317.315021635B@mail.example.com>,Phish,43,-1,24
<20061124205130.855B1621DF9@mail.example.com>,Phish,43,-1,24
<20061124025945.33E51162E7@mail.example.com>,Phish,43,-1,24
<20061124230533.2B88B621F06@mail.example.com>,Phish,32,-1,11
<200602240833.DAA00129@mail.example.com>,Phish,6,6,52
<20061129200759.307681638D@mail.example.com>,Phish,43,-1,24
<20061130194416.53DB1163E8@mail.example.com>,Phish,43,-1,24
<20061204225023.F2483163A1@mail.example.com>,Phish,43,-1,24
<20061210073402.C4B9616361@mail.example.com>,Phish,32,-1,11
<20061211114214.EE16016308@mail.example.com>,Phish,43,-1,24
<20061212204236.101E81637D@mail.example.com>,Phish,43,-1,24
<20061214202856.CA305621CDF@mail.example.com>,Phish,43,-1,24
<20061216182050.79CE3621D01@mail.example.com>,Phish,43,-1,24
<20061218010804.59EF0162F2@mail.example.com>,Phish,43,-1,24
<200603030154.UAA10489@mail.example.com>,Phish,4,-1,25
<20061219031750.57E1C623364@mail.example.com>,Phish,32,-1,11
<200603051257.k25CvBJ9014428@bonnyind.com.tw>,Phish,6,6,52
<20061220160815.28CA6162E4@mail.example.com>,Phish,43,-1,24
<20061229083007.CE8E6621CD4@mail.example.com>,Phish,43,-1,24
<20061222114636.4C92C621CF9@mail.example.com>,Phish,32,-1,11
<20061222234708.1238B621CFA@mail.example.com>,Phish,43,-1,24
<20070102174527.71A5F16307@mail.example.com>,Phish,43,-1,24
<20070104112637.5DAAD16303@mail.example.com>,Phish,32,-1,11
<20070105223422.C989B621CE5@mail.example.com>,Phish,43,-1,24
<20070106053211.93612621D1D@mail.example.com>,Phish,43,-1,24
<20070111232611.5023A163A9@mail.example.com>,Phish,43,-1,24
<20070115164110.A9857621CF5@mail.example.com>,Phish,32,-1,11
<20070116142117.3BDFD1630E@mail.example.com>,Phish,43,-1,24
<20070117193509.554FB1637D@mail.example.com>,Phish,43,-1,24
<20070119012832.AFE2D162C9@mail.example.com>,Phish,43,-1,24
<20070120222438.47CEF621EB2@mail.example.com>,Phish,32,-1,11
<20070123132617.E64A2162D0@mail.example.com>,Phish,43,-1,24
<20070124023541.EC01E16395@mail.example.com>,Phish,32,-1,11
<20070124043749.D48B716328@mail.example.com>,Phish,43,-1,24
<20070125010058.36E21621E34@mail.example.com>,Phish,43,-1,24
<20070125211510.124A816303@mail.example.com>,Phish,32,-1,11
<20070127093311.1D21C162F8@mail.example.com>,Phish,32,-1,11
<20070127105111.15266621DF1@mail.example.com>,Phish,43,-1,24
